;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME,
141,570141,433.4,1103.2,2.55,2172.2,7.8,718.5,1445.9,3086.9,0.5,7.3,715.3,3.2,32.1,1301.7,3.8,108.3,75.6,139.0,673.5,26.6,60843.0,0,0,0,57,WEBER,0
142,570142,201.2,509.8,2.53,135.0,0.2,5.8,129.0,447.0,0.0,0.2,5.5,0.3,10.4,90.5,0.2,28.0,10.5,0.0,289.1,12.3,60843.0,0,0,0,57,WEBER,
143,570143,127.3,350.2,2.75,0.5,0.2,0.0,0.3,146.9,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,17.4,0.0,121.1,7.9,60843.0,0,0,0,57,WEBER,
144,570144,64.5,162.5,2.52,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,7.8,4.0,66989.0,0,0,0,57,WEBER,
145,570145,493.4,1306.7,2.65,0.0,0.0,0.0,0.0,140.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,103.0,30.5,66989.0,0,0,0,57,WEBER,
146,570146,292.1,762.5,2.61,2.3,0.0,0.3,2.0,30.8,0.0,0.0,0.2,0.2,0.2,0.7,1.0,0.2,4.7,0.0,5.8,18.0,66989.0,0,0,0,57,WEBER,
147,570147,450.9,1206.5,2.68,46.2,1.8,2.2,42.3,118.6,0.2,1.7,1.8,0.3,7.1,18.4,8.0,8.8,7.4,0.0,37.2,27.9,66989.0,0,0,0,57,WEBER,
148,570148,487.2,1287.0,2.64,219.4,15.0,9.8,194.6,435.3,13.7,1.3,0.8,9.0,8.3,162.4,8.2,15.6,3.0,0.0,182.7,30.1,82188.0,0,0,0,57,WEBER,
149,570149,612.2,1673.1,2.73,54.5,0.7,0.5,53.4,170.0,0.5,0.2,0.5,0.0,22.6,7.3,2.8,20.6,5.9,0.0,71.8,37.8,82191.0,0,0,0,57,WEBER,
150,570150,595.5,1766.2,2.97,530.2,142.6,108.6,279.0,583.1,138.0,4.6,9.2,99.5,10.1,147.6,1.2,120.1,0.0,0.0,16.0,36.8,82684.0,0,0,0,57,WEBER,
